11,'The Cloak Tower','Bone Devil','Infernal Citadel',4617653
12,'Sharandars Ruins','Two Scorpions','Lair of Lostmauth',1555523
13,'The Vault of Treasures','Halaster','Tower of the mad mage',1221451
14,'Knuxs Mansion', 'Valindra','Valindras Tower',4617653
15,'Spellplague Caverns','Prison Warden','The Vault of Treasures',2847164
16,'Keledgonns Retreat','Bone Devil','Infernal Citadel',4153523
17,'Valindras Tower','Valindra','Keledgonns Retreat',1221451
18,'Infernal Citadel','Two Scorpions','Lair of Lostmauth',2847164
19,'Castle Never', 'Valindra','Valindras Tower',4617653
20,'Lair of Lostmauth','Prison Warden','The Vault of Treasures',1249612
21,'Tower of the mad mage','Halaster','Tower of the mad mage',2093413
22,'Spellplague Caverns','Valindra','Keledgonns Retreat',1555523
23,'Infernal Citadel','Bone Devil','Infernal Citadel',4153523
24,'Lair of Lostmauth', 'Valindra','Valindras Tower',4617653
25,'Tomb of the Nine Gods','Two Scorpions','Lair of Lostmauth',1221451