11 , 12
12 , 13
13 , 14
14 , 15
15 , 16
16 , 17
17 , 18
18 , 19
19 , 20
20 , 21
21 , 22
22 , 23
23 , 24
11 , 13
12 , 14
13 , 15
14 , 16
15 , 17
16 , 18
17 , 19
18 , 20
19 , 21
20 , 22
21 , 23
22 , 24
23 , 25
11 , 14
12 , 15
13 , 16
14 , 17
15 , 18
16 , 19
17 , 20
18 , 21
19 , 22
20 , 23
21 , 24
22 , 25
11 , 15
12 , 16
13 , 17
14 , 18
15 , 19
16 , 20
17 , 21
18 , 22
19 , 23
20 , 24
21 , 25
11 , 16
12 , 17
13 , 18
14 , 19
11 , 17
12 , 18
13 , 19
14 , 20
15 , 21
16 , 22
17 , 23
18 , 24
19 , 25
15 , 20
16 , 21
17 , 22
18 , 23
19 , 24
20 , 25
11 , 18
12 , 19
13 , 20
14 , 21
15 , 22
16 , 23
17 , 24
18 , 25
11 , 19
12 , 20
13 , 21
14 , 22
15 , 23
16 , 24
17 , 25